_start,_end,_type,link,status,start_date,end_date,sourceID
192692,558543,registered_address,registered address,,,,Panama Papers
192885,558734,registered_address,registered address,,,,Panama Papers
198967,558876,registered_address,registered address,,,,Panama Papers
192815,558089,registered_address,registered address,,,,Panama Papers
213735,559488,registered_address,registered address,,,,Panama Papers
200562,558103,registered_address,registered address,,,,Panama Papers
207587,559227,registered_address,registered address,,,,Panama Papers
212923,557255,registered_address,registered address,,,,Panama Papers
213020,558604,registered_address,registered address,,,,Panama Papers
209123,559342,registered_address,registered address,,,,Panama Papers
207578,558642,registered_address,registered address,,,,Panama Papers
225286,89,intermediary_of,intermediary of,,,,Panama Papers
225286,460,intermediary_of,intermediary of,,,,Panama Papers
225286,567,intermediary_of,intermediary of,,,,Panama Papers
224844,1262,intermediary_of,intermediary of,,,,Panama Papers
227912,2455,intermediary_of,intermediary of,,,,Panama Papers
218924,113,intermediary_of,intermediary of,,,,Panama Papers
214687,129,intermediary_of,intermediary of,,,,Panama Papers
214687,528,intermediary_of,intermediary of,,,,Panama Papers
214494,996,intermediary_of,intermediary of,,,,Panama Papers
214687,927,intermediary_of,intermediary of,,,,Panama Papers
227912,154,intermediary_of,intermediary of,,,,Panama Papers
225286,580,intermediary_of,intermediary of,,,,Panama Papers
225286,632,intermediary_of,intermediary of,,,,Panama Papers
216788,3005,intermediary_of,intermediary of,,,,Panama Papers
224902,2781,intermediary_of,intermediary of,,,,Panama Papers
217860,3051,intermediary_of,intermediary of,,,,Panama Papers
214687,3264,intermediary_of,intermediary of,,,,Panama Papers
225286,1058,intermediary_of,intermediary of,,,,Panama Papers
218924,1345,intermediary_of,intermediary of,,,,Panama Papers
214687,1347,intermediary_of,intermediary of,,,,Panama Papers
225286,1142,intermediary_of,intermediary of,,,,Panama Papers
214687,1352,intermediary_of,intermediary of,,,,Panama Papers
214687,1497,intermediary_of,intermediary of,,,,Panama Papers
225286,27130,intermediary_of,intermediary of,,,,Panama Papers
225985,27227,intermediary_of,intermediary of,,,,Panama Papers
221940,28154,intermediary_of,intermediary of,,,,Panama Papers
215645,27284,intermediary_of,intermediary of,,,,Panama Papers
216156,27572,intermediary_of,intermediary of,,,,Panama Papers
218974,29034,intermediary_of,intermediary of,,,,Panama Papers
226056,27486,intermediary_of,intermediary of,,,,Panama Papers
226056,27488,intermediary_of,intermediary of,,,,Panama Papers
218974,26138,intermediary_of,intermediary of,,,,Panama Papers
226056,25644,intermediary_of,intermediary of,,,,Panama Papers
219269,26266,intermediary_of,intermediary of,,,,Panama Papers
218974,29180,intermediary_of,intermediary of,,,,Panama Papers
226056,31172,intermediary_of,intermediary of,,,,Panama Papers
226056,31205,intermediary_of,intermediary of,,,,Panama Papers
226056,31241,intermediary_of,intermediary of,,,,Panama Papers
225987,31499,intermediary_of,intermediary of,,,,Panama Papers
222839,33006,intermediary_of,intermediary of,,,,Panama Papers
218974,34448,intermediary_of,intermediary of,,,,Panama Papers
218558,34190,intermediary_of,intermediary of,,,,Panama Papers
223962,29186,intermediary_of,intermediary of,,,,Panama Papers
215875,29107,intermediary_of,intermediary of,,,,Panama Papers
223962,29182,intermediary_of,intermediary of,,,,Panama Papers
214687,28280,intermediary_of,intermediary of,,,,Panama Papers
215875,30222,intermediary_of,intermediary of,,,,Panama Papers
226056,26507,intermediary_of,intermediary of,,,,Panama Papers
216788,31222,intermediary_of,intermediary of,,,,Panama Papers
215875,30880,intermediary_of,intermediary of,,,,Panama Papers
216156,30940,intermediary_of,intermediary of,,,,Panama Papers
215875,31419,intermediary_of,intermediary of,,,,Panama Papers
214687,31951,intermediary_of,intermediary of,,,,Panama Papers
225286,31957,intermediary_of,intermediary of,,,,Panama Papers
218311,32462,intermediary_of,intermediary of,,,,Panama Papers
215875,31828,intermediary_of,intermediary of,,,,Panama Papers
226056,29656,intermediary_of,intermediary of,,,,Panama Papers
226056,29679,intermediary_of,intermediary of,,,,Panama Papers
