_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,zip,zip_five,state,lat,long,state_full
659,10000653,xenon trading sa,xenon trading sa,,sam,samoa,,mr alain berdouare 118 east 60th street apartment 29a new york ny 10022 usa,1002066.0,07dec2006,,,,active,mossack fonseca,r29226,usa,united states,panama papers,the panama papers data is current through 2015,,10022 ,10022,new york,43.0,-75.0,new york
1022,10001022,michanne corporation,michanne corporation,,sam,samoa,,ms nancy broadhurst 300 ne 20th street apartment 402 boca raton florida 334318153 usa,1002329.0,24jan2007,19feb2015,15feb2015,,defaulted,mossack fonseca,r30613,usa,united states,panama papers,the panama papers data is current through 2015,,334318153,33431,florida,27.994402,-81.760254,florida
1724,10001720,wolfs mountain inc,wolfs mountain inc,,sam,samoa,,melissa may xavier 4500 nw 144th ave  2202 doral fl 33178 florida usa,1002175.0,19dec2006,19feb2015,15feb2015,,defaulted,mossack fonseca,r29503,usa,united states,panama papers,the panama papers data is current through 2015,,33178 ,33178,florida,27.994402,-81.760254,florida
2851,10002849,yorktown consultancy services limited,yorktown consultancy services limited,,sam,samoa,,richard charbit po box 1480 new york new york 10021,1001785.0,22sep2006,15jun2014,15feb2015,,resigned as agent,mossack fonseca,r28117,usa,united states,panama papers,the panama papers data is current through 2015,,10021,10021,new york,43.0,-75.0,new york
2881,10002879,lodmax properties sa,lodmax properties sa,,pma,panama,,david zablo penthouse  5825 collins avenue miami beach florida 33140 u s a,11631.0,31jul1989,02aug1993,31oct1990,,defaulted,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33140 ,33140,florida,27.994402,-81.760254,florida
4522,10004523,h  h industries corporation,h  h industries corporation,,pma,panama,,mr john d hanna 20043 park ranch san antonio texas 782591922 u s a,1118.0,02jul1980,27mar1997,02oct1981,,defaulted,mossack fonseca,60,usa,united states,panama papers,the panama papers data is current through 2015,,782591922,78259,texas,31.0,-100.0,texas
4620,10004778,first ocean steamship sa,first ocean steamship sa,,pma,panama,,seawind cruise line 1750 coral way miami florida 33145 usa,12622.0,13nov1990,18jan1996,13feb1992,,changed agent,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,33145 ,33145,florida,27.994402,-81.760254,florida
4697,10004700,cicely trading llc nevada,cicely trading llc nevada,,nev,nevada,,cicely trading llc nevada 520 s 7th street suite c las vegas nv 89101 u s a,121157.0,14aug2002,20oct2008,01sep2004,,inactivated,mossack fonseca,llc986502,usa,united states,panama papers,the panama papers data is current through 2015,,89101 ,89101,nevada,39.876019,-117.224121,nevada
4725,10004719,felsa investments sa,felsa investments sa,,pma,panama,,mr stephen finlay 16575 south pacific avenue sunset beach california 90742 usa,11328.0,14mar1986,01dec2000,14jun2001,,dissolved,mossack fonseca,68,usa,united states,panama papers,the panama papers data is current through 2015,,90742 ,90742,california,36.778259,-119.417931,california
4857,10004855,cluster enterprises limited inc,cluster enterprises limited inc,,pma,panama,,cluster enterprises ltd inc co transseabulk consultants inc 29 broadway suite 1612 new york n y 10006 u s a,1110.0,26jun1980,25nov1991,26sep1981,,defaulted,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,10006 ,10006,new york,43.0,-75.0,new york
5216,10005215,brachmond inc,brachmond inc,,pma,panama,,mr leon d gould co whitehall financial group inc 711 fifth avenue 16th floor new york ny 10022 u s a si,13386.0,07jan1992,05nov1993,07apr1993,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,10022 ,10022,new york,43.0,-75.0,new york
5242,10005241,rosas internacional sa,rosas internacional sa,,pma,panama,,mr alexander maass personal  confidential po box 30326 houston texas 772490326 usa,13086.0,24jun1991,14jun1993,24sep1992,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,772490326,77249,texas,31.0,-100.0,texas
5635,10005631,belmont properties sa,belmont properties sa,,pma,panama,,hoet pelaez castillo  duque att mr f pelaez m424 jet cargo international pobox 020010 miami florida 331020010 usa si,1567.0,27feb1981,08nov1996,27may1982,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,331020010,33102,florida,27.994402,-81.760254,florida
6221,10006222,portland oil service company sa,portland oil service company sa,,pma,panama,,michael p mueller 200 dayton building 838 sw first avenue portland oregon 972043379 usa,1017.0,30apr1980,12nov1996,31jul1981,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,972043379,97204,oregon,44.0,-120.5,oregon
6240,10006244,caravan oil services inc,caravan oil services inc,,pma,panama,,mr john dilorenzo 12i sw morrison street suite 800 portland oregon 97204 u s a,1143.0,06aug1980,09mar1990,06nov1981,,trash company,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,97204 ,97204,oregon,44.0,-120.5,oregon
6325,10006326,rutherford holding inc,rutherford holding inc,,pma,panama,,peter a speck 103 waterfrontplantation drive johns island south carolina 29412 u s a,10153.0,06apr1988,31may1991,06jul1989,,inactivated,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,29412 ,29412,south carolina,33.836082,-81.163727,south carolina
6540,10006541,cannon associates inc,cannon associates inc,,pma,panama,,eisner  lubin llp 444 madison avenue new york ny 10022 u s a si,10720.0,06dec1988,04apr2003,06mar2001,,defaulted,mossack fonseca,18,usa,united states,panama papers,the panama papers data is current through 2015,,10022 ,10022,new york,43.0,-75.0,new york
7051,10007050,uas aviation inc,uas aviation inc,,pma,panama,,united aviation services inc 326 main street port washington ny 11050 u s a,11628.0,27jul1989,04apr1994,27oct1990,,dissolved,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,11050 ,11050,washington,47.751076,-120.740135,washington
7633,10007634,interisthmus inc,interisthmus inc,,pma,panama,,mr thomas kelly 2055 parkside circle south boca raton florida 33486 u s a,15950.0,03may1996,18nov1997,03aug1998,,dissolved,mossack fonseca,37,usa,united states,panama papers,the panama papers data is current through 2015,,33486 ,33486,florida,27.994402,-81.760254,florida
7665,10007663,jebal international inc,jebal international inc,,pma,panama,,international corporate services inc po box 48379 los angeles california 90048 united states of america,13718.0,16jul1992,30may1995,16oct1993,,trash company,mossack fonseca,,usa,united states,panama papers,the panama papers data is current through 2015,,90048 ,90048,california,36.778259,-119.417931,california
8184,10008182,spranza corporation,spranza corporation,,pma,panama,,mr basil c fisk 1865 brickell avenue suite 1509 miami florida 33129 usa,15116.0,24jan1995,17jan2002,24apr2002,,dissolved,mossack fonseca,60,usa,united states,panama papers,the panama papers data is current through 2015,,33129 ,33129,florida,27.994402,-81.760254,florida
8660,10008660,freeland properties inc,freeland properties inc,,pma,panama,,mr victor riesterer po box no 025304 pakmail no 10434 miami florida 331025304 usa,13296.0,13nov1991,17jan2005,31dec2005,,dissolved,mossack fonseca,4,usa,united states,panama papers,the panama papers data is current through 2015,,331025304,33102,florida,27.994402,-81.760254,florida
