geonameid,name,country,subcountry,country_code
3040051,les Escaldes,Andorra,Escaldes-Engordany,AND
3041563,Andorra la Vella,Andorra,Andorra la Vella,AND
290594,Umm Al Quwain City,United Arab Emirates,Imārat Umm al Qaywayn,ARE
291074,Ras Al Khaimah City,United Arab Emirates,Raʼs al Khaymah,ARE
291580,Zayed City,United Arab Emirates,Abu Dhabi,ARE
291696,Khawr Fakkān,United Arab Emirates,Sharjah,ARE
292223,Dubai,United Arab Emirates,Dubai,ARE
292231,Dibba Al-Fujairah,United Arab Emirates,Fujairah,ARE
292239,Dibba Al-Hisn,United Arab Emirates,Fujairah,ARE
292672,Sharjah,United Arab Emirates,Sharjah,ARE
292688,Ar Ruways,United Arab Emirates,Abu Dhabi,ARE
292878,Al Fujairah City,United Arab Emirates,Fujairah,ARE
292913,Al Ain City,United Arab Emirates,Abu Dhabi,ARE
292932,Ajman City,United Arab Emirates,Ajman,ARE
292953,Adh Dhayd,United Arab Emirates,Sharjah,ARE
292968,Abu Dhabi,United Arab Emirates,Abu Dhabi,ARE
8057551,Khalifah A City,United Arab Emirates,Abu Dhabi,ARE
12042052,Bani Yas City,United Arab Emirates,Abu Dhabi,ARE
12042053,Musaffah,United Arab Emirates,Abu Dhabi,ARE
12047416,Al Shamkhah City,United Arab Emirates,Abu Dhabi,ARE
12047417,Reef Al Fujairah City,United Arab Emirates,Fujairah,ARE
1120985,Zaranj,Afghanistan,Nimroz,AFG
1121381,Bāzār-e Yakāwlang,Afghanistan,Bamyan,AFG
1123004,Taloqan,Afghanistan,Takhar,AFG
1125155,Shīnḏanḏ,Afghanistan,Herat,AFG
1125444,Shibirghān,Afghanistan,Jowzjan,AFG
1125896,Shahrak,Afghanistan,Ghowr,AFG
1127110,Sar-e Pul,Afghanistan,Sar-e Pol Province,AFG
1127628,Sang-e Chārak,Afghanistan,Sar-e Pol Province,AFG
1127768,Aībak,Afghanistan,Samangan,AFG
1128265,Rustāq,Afghanistan,Takhar,AFG
1129516,Qarqīn,Afghanistan,Jowzjan,AFG
1129648,Qarāwul,Afghanistan,Kunduz,AFG
1130490,Pul-e Khumrī,Afghanistan,Baghlan,AFG
1131316,Paghmān,Afghanistan,Kabul,AFG
1132495,Nahrīn,Afghanistan,Baghlan,AFG
1133453,Maymana,Afghanistan,Faryab,AFG
1133574,Mehtar Lām,Afghanistan,Laghman,AFG
1133616,Mazār-e Sharīf,Afghanistan,Balkh,AFG
1134720,Lashkar Gāh,Afghanistan,Helmand,AFG
1135158,Kushk,Afghanistan,Herat,AFG
1135689,Kunduz,Afghanistan,Kunduz,AFG
1136469,Khōst,Afghanistan,Khowst,AFG
1136575,Khulm,Afghanistan,Balkh,AFG
1136863,Khāsh,Afghanistan,Nimroz,AFG
1137168,Khanabad,Afghanistan,Kunduz,AFG
1137807,Karukh,Afghanistan,Herat,AFG
1138336,Kandahār,Afghanistan,Kandahar,AFG
1138958,Kabul,Afghanistan,Kabul,AFG
1139715,Jalālābād,Afghanistan,Nangarhar,AFG
1139807,Jabal os Saraj,Afghanistan,Parwan,AFG
1140026,Herāt,Afghanistan,Herat,AFG
1141089,Ghormach,Afghanistan,Badghis,AFG
1141269,Ghazni,Afghanistan,Ghazni,AFG
1141540,Gereshk,Afghanistan,Helmand,AFG
1141857,Gardez,Afghanistan,Paktia,AFG
1142170,Fayzabad,Afghanistan,Badakhshan,AFG
1142264,Farah,Afghanistan,Farah,AFG
1142404,Eslam Qaleh,Afghanistan,Herat,AFG
1145352,Charikar,Afghanistan,Parwan,AFG
1147066,Baraki Barak,Afghanistan,Logar,AFG
1147242,Bāmyān,Afghanistan,Bamyan,AFG
1147290,Balkh,Afghanistan,Balkh,AFG
1147540,Baghlān,Afghanistan,Baghlan,AFG
1148106,Ārt Khwājah,Afghanistan,Takhar,AFG
1148205,Āsmār,Afghanistan,Kunar,AFG
1148311,Asadābād,Afghanistan,Kunar,AFG
1148658,Andkhōy,Afghanistan,Faryab,AFG
1429434,Bāzārak,Afghanistan,Panjshir,AFG
1469706,Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhar,AFG
3576022,Saint John’s,Antigua and Barbuda,Saint John,ATG
3573374,The Valley,Anguilla,The Valley,AIA
363243,Sarandë,Albania,Vlorë County,ALB
781988,Pogradec,Albania,Korçë County,ALB
782661,Kukës,Albania,Kukës County,ALB
782756,Korçë,Albania,Korçë County,ALB
783148,Gjirokastër,Albania,Gjirokastër County,ALB
783263,Elbasan,Albania,Elbasan County,ALB
783493,Burrel,Albania,Dibër County,ALB
3183719,Vlorë,Albania,Vlorë County,ALB
3183875,Tirana,Albania,Tirana,ALB
3184081,Shkodër,Albania,Shkodër County,ALB
3184517,Patos Fshat,Albania,Fier County,ALB
3184518,Patos,Albania,Fier County,ALB
3184862,Lushnjë,Albania,Fier County,ALB
3184935,Lezhë,Albania,Lezhë County,ALB
3185012,Laç,Albania,Lezhë County,ALB
3185082,Krujë,Albania,Durrës County,ALB
3185211,Kavajë,Albania,Tirana,ALB
3185670,Fier-Çifçi,Albania,Fier County,ALB
3185672,Fier,Albania,Fier County,ALB
3185728,Durrës,Albania,Durrës County,ALB
3186084,Berat,Albania,Berat County,ALB
174875,Kapan,Armenia,Syunik,ARM
174895,Goris,Armenia,Syunik,ARM
174972,Hats’avan,Armenia,Syunik,ARM
174979,Artashat,Armenia,Ararat,ARM
174991,Ararat,Armenia,Ararat,ARM
616052,Yerevan,Armenia,Yerevan,ARM
616062,Vagharshapat,Armenia,Armavir,ARM
616194,Stepanavan,Armenia,Lori,ARM
616199,Spitak,Armenia,Lori,ARM
616250,Sevan,Armenia,Gegharkunik,ARM
616435,Masis,Armenia,Ararat,ARM
616530,Vanadzor,Armenia,Lori,ARM
616599,Gavar,Armenia,Gegharkunik,ARM
616629,Hrazdan,Armenia,Kotayk,ARM
616631,Armavir,Armenia,Armavir,ARM
616635,Gyumri,Armenia,Shirak,ARM
616785,Ch’arents’avan,Armenia,Kotayk,ARM
616877,Ashtarak,Armenia,Aragatsotn,ARM
617026,Abovyan,Armenia,Kotayk,ARM
145531,Saurimo,Angola,Lunda Sul,AGO
145724,Lucapa,Angola,Luanda Norte,AGO
876177,Luau,Angola,Moxico,AGO
2236568,Uíge,Angola,Uíge,AGO
2236967,Soio,Angola,Zaire,AGO
2239001,N'zeto,Angola,Zaire,AGO
2239076,N’dalatando,Angola,Cuanza Norte,AGO
2239520,Mbanza Kongo,Angola,Zaire,AGO
2239862,Malanje,Angola,Malanje,AGO
2240449,Luanda,Angola,Luanda,AGO
2242001,Caxito,Angola,Bengo,AGO
2243271,Cabinda,Angola,Cabinda,AGO
3346015,Sumbe,Angola,Kwanza Sul,AGO
3347019,Moçâmedes,Angola,Namibe,AGO
3347353,Menongue,Angola,Cuando Cobango,AGO
3347719,Luena,Angola,Moxico,AGO
3347762,Lubango,Angola,Huíla,AGO
3347853,Longonjo,Angola,Huambo,AGO
3347939,Lobito,Angola,Benguela,AGO
3348078,Cuito,Angola,Bíe,AGO
3348313,Huambo,Angola,Huambo,AGO
3350246,Catumbela,Angola,Benguela,AGO
3350372,Catabola,Angola,Bíe,AGO
3351014,Camacupa,Angola,Bíe,AGO
3351500,Caála,Angola,Huambo,AGO
3351663,Benguela,Angola,Benguela,AGO
3427213,Zárate,Argentina,Buenos Aires,ARG
3427327,Wanda,Argentina,Misiones,ARG
3427387,Villa Ortúzar,Argentina,Buenos Aires F.D.,ARG
3427388,Villa Ocampo,Argentina,Santa Fe,ARG
3427408,Villa Lugano,Argentina,Buenos Aires F.D.,ARG
3427428,Villaguay,Argentina,Entre Rios,ARG
3427431,Villa Gesell,Argentina,Buenos Aires,ARG
3427453,Villa de Mayo,Argentina,Buenos Aires,ARG
3427687,Tortuguitas,Argentina,Buenos Aires,ARG
3427761,Tigre,Argentina,Buenos Aires,ARG
3427833,Tandil,Argentina,Buenos Aires,ARG
3428068,San Vicente,Argentina,Misiones,ARG
3428071,Santo Tomé,Argentina,Corrientes,ARG
3428075,Santos Lugares,Argentina,Buenos Aires,ARG
3428359,Santa Elena,Argentina,Entre Rios,ARG
3428576,San Pedro,Argentina,Buenos Aires,ARG
3428577,San Pedro,Argentina,Misiones,ARG
3428708,San Luis del Palmar,Argentina,Corrientes,ARG
3428759,San Lorenzo,Argentina,Corrientes,ARG
3428975,San Javier,Argentina,Santa Fe,ARG
3428992,San Isidro,Argentina,Buenos Aires,ARG
3429403,Saladas,Argentina,Corrientes,ARG
3429576,Retiro,Argentina,Buenos Aires F.D.,ARG
3429577,Resistencia,Argentina,Chaco,ARG
3429594,Reconquista,Argentina,Santa Fe,ARG
3429652,Quilmes,Argentina,Buenos Aires,ARG
3429732,Puerto Rico,Argentina,Misiones,ARG
3429777,Puerto Iguazú,Argentina,Misiones,ARG
3429786,Puerto Esperanza,Argentina,Misiones,ARG
3429790,Puerto Eldorado,Argentina,Misiones,ARG
3429886,Posadas,Argentina,Misiones,ARG
3429902,Pontevedra,Argentina,Buenos Aires,ARG
3429949,Pirané,Argentina,Formosa,ARG
3429980,Pilar,Argentina,Buenos Aires,ARG
3430104,Paso de los Libres,Argentina,Corrientes,ARG
3430340,Oberá,Argentina,Misiones,ARG
3430443,Necochea,Argentina,Buenos Aires,ARG
3430513,Muñiz,Argentina,Buenos Aires,ARG
3430545,Morón,Argentina,Buenos Aires,ARG
3430598,Monte Caseros,Argentina,Corrientes,ARG
3430601,Montecarlo,Argentina,Misiones,ARG
3430697,Merlo,Argentina,Buenos Aires,ARG
3430708,Mercedes,Argentina,Buenos Aires,ARG
3430709,Mercedes,Argentina,Corrientes,ARG
3430863,Mar del Plata,Argentina,Buenos Aires,ARG
3430988,Luján,Argentina,Buenos Aires,ARG
3431057,Los Polvorines,Argentina,Buenos Aires,ARG
3432043,La Plata,Argentina,Buenos Aires,ARG
3432079,La Paz,Argentina,Entre Rios,ARG
3433349,Jardín América,Argentina,Misiones,ARG
3433522,Hurlingham,Argentina,Buenos Aires,ARG
3433658,Gualeguaychú,Argentina,Entre Rios,ARG
3433663,Gualeguay,Argentina,Entre Rios,ARG
3433715,Goya,Argentina,Corrientes,ARG
3433753,Gobernador Virasora,Argentina,Corrientes,ARG
3433787,General Pacheco,Argentina,Buenos Aires,ARG
3433803,General José de San Martín,Argentina,Chaco,ARG
3433836,Garupá,Argentina,Misiones,ARG
3433899,Formosa,Argentina,Formosa,ARG
3433901,Fontana,Argentina,Chaco,ARG
3433956,Federal,Argentina,Entre Rios,ARG
3434095,Esquina,Argentina,Corrientes,ARG
3434291,El Soberbio,Argentina,Misiones,ARG
3435010,Don Torcuato,Argentina,Buenos Aires,ARG
3435038,Dolores,Argentina,Buenos Aires,ARG
3435103,Curuzú Cuatiá,Argentina,Corrientes,ARG
