_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
569238,131092,GOLDEN MISSION OVERSEAS (PTC) LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,27-JAN-2000,,,,Active,Portcullis Trustnet,367331,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
588814,163863,Ming Ming Investment Ltd,,,SEY,Seychelles,Standard International Company,,,17-MAY-2007,,,,Active,Portcullis Trustnet,037124,SYC,Seychelles,Offshore Leaks,The Offshore Leaks data is current through 2010,
566456,131105,"Grand Channel Holding Co., Ltd.",,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,03-FEB-2000,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,367346,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
642711,229413,A G S International Incorporated,,,XXX,Undetermined,Turks,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,10-OCT-1996,,,,Dead,Commonwealth Trust Limited,E19262,XXX;USA,Not identified;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
627416,196646,KARDEX LIMITED,,,XXX,Undetermined,Business Company Limited by Shares,"Cliff Legal Services, Inc. 36, bld. 3, Kutuzovsky Prospect Moscow,  121170 Russia Attn:  Ksenia Semionova **invoices via e-mail: REDACTED",,08-NOV-2007,,,,Active,Commonwealth Trust Limited,1442510,VGB;RUS,British Virgin Islands;Russia,Offshore Leaks,The Offshore Leaks data is current through 2010,
649545,229415,S & P Comstock Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,08-MAY-2001,,,01-NOV-2003,Dead,Commonwealth Trust Limited,443536,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
644788,229416,Global Advantage Asset Management Inc.,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,08-MAY-2001,,,01-NOV-2003,Dead,Commonwealth Trust Limited,443535,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
613556,196647,FLOMIX LIMITED,,,XXX,Undetermined,Business Company Limited by Shares,"Cliff Legal Services, Inc. 36, bld. 3, Kutuzovsky Prospect Moscow,  121170 Russia Attn:  Ksenia Semionova **invoices via e-mail: REDACTED",,08-NOV-2007,,,,Active,Commonwealth Trust Limited,1442527,RUS;VGB,Russia;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
564370,131126,CYBER PACIFIC TRADING INC.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,08-FEB-2000,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,367891,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
599706,163901,"JAG INTERNATIONAL CO., LTD.",,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,30-MAY-2007,,,,Active,Portcullis Trustnet,1408133,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
642715,229447,"Vargas, Fuentes & Thompson Ltd.",,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,08-JUN-2001,,,01-NOV-2002,Dead,Commonwealth Trust Limited,448194,XXX;USA,Not identified;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
564372,131145,Primeyield Enterprise Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,07-MAR-2006,,,,Active,Portcullis Trustnet,1013998,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
626351,196697,China Treasury Holdings Limited,,,XXX,Undetermined,Business Company Limited by Shares,"Company Kit Limited Unit A, 6/F Shun On Comm Bldg. 112-114 Des Voeux Road C., Hong Kong  SAR RT BVI",,13-NOV-2007,,,01-MAY-2009,Dead,Commonwealth Trust Limited,1443653,HKG;VGB,Hong Kong;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
569365,131173,"ZHIST CO., LTD.",,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,27-MAR-2006,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1018038,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
644862,229482,Imex Global S.A.,,,XXX,Undetermined,Standard Company under IBC Act,"North American Business Corp. 2929 Windstone Court Bedford, Texas, 76021-2864 USA",,13-JUN-2001,,,,Active,Commonwealth Trust Limited,448946,USA;VGB,United States;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
